Peptide,Avg. contacts,Simulation
1,2.11,SP-PSM
2,1.16,SP-PSM
3,3.06,SP-PSM
4,3.97,SP-PSM
5,2.03,SP-PSM
6,2.17,SP-PSM
7,2.64,SP-PSM
8,2.43,SP-PSM
9,1.9,SP-PSM
10,2.43,SP-PSM
11,2.7,SP-PSM
12,1.81,SP-PSM
13,1.03,SP-PSM
14,1.05,SP-PSM
15,1.58,SP-PSM
16,2.38,SP-PSM
17,1.24,SP-PSM
18,4.04,SP-PSM
19,0.63,SP-PSM
20,1.57,SP-PSM
21,2.38,SP-PSM
22,3.43,SP-PSM
23,0.98,SP-PSM
24,1.68,SP-PSM
25,1.89,SP-PSM
26,2.47,SP-PSM
27,1.88,SP-PSM
28,3.36,SP-PSM
29,1.56,SP-PSM
30,2.77,SP-PSM
31,2.43,SP-PSM
32,1.12,SP-PSM
33,2.59,SP-PSM
34,2.44,SP-PSM
35,1.7,SP-PSM
36,4.26,SP-PSM
37,0.78,SP-PSM
38,2.51,SP-PSM
39,4.62,SP-PSM
40,0.49,SP-PSM
41,1.57,SP-PSM
42,2.44,SP-PSM
43,0.94,SP-PSM
44,1.47,SP-PSM
45,1.99,SP-PSM
46,2.2,SP-PSM
47,5.39,SP-PSM
48,1.47,SP-PSM
49,2.94,SP-PSM
50,2.94,SP-PSM
51,0.72,SP-PSM
52,2.85,SP-PSM
53,3.26,SP-PSM
54,1.36,SP-PSM
55,2.74,SP-PSM
56,2.44,SP-PSM
57,0.79,SP-PSM
58,2.89,SP-PSM
59,3.62,SP-PSM
60,2.69,SP-PSM
61,1.75,SP-PSM
62,4.56,SP-PSM
63,5.09,SP-PSM
64,1.06,SP-PSM
65,1.5,SP-PSM
66,3.16,SP-PSM
67,3.42,SP-PSM
68,1.03,SP-PSM
69,2.98,SP-PSM
70,2.27,SP-PSM
71,2.39,SP-PSM
72,2.12,SP-PSM
73,1.98,SP-PSM
74,1.78,SP-PSM
75,2.35,SP-PSM
76,1.65,SP-PSM
77,2.33,SP-PSM
78,1.78,SP-PSM
79,2.87,SP-PSM
80,1.73,SP-PSM
81,5.11,SP-PSM
82,2.33,SP-PSM
83,2.34,SP-PSM
84,1.48,SP-PSM
85,1.86,SP-PSM
86,2.39,SP-PSM
87,1.49,SP-PSM
88,2.93,SP-PSM
89,2.66,SP-PSM
90,1.69,SP-PSM
91,2.65,SP-PSM
92,3.04,SP-PSM
93,2.63,SP-PSM
94,2.01,SP-PSM
95,2.21,SP-PSM
96,2.43,SP-PSM
97,1.45,SP-PSM
98,4.05,SP-PSM
99,2.12,SP-PSM
100,3.4,SP-PSM
101,2.19,SP-PSM
102,3.14,SP-PSM
103,3.0,SP-PSM
104,4.52,SP-PSM
105,4.58,SP-PSM
1,1.61,SC-all-Leu
2,0.54,SC-all-Leu
3,1.86,SC-all-Leu
4,0.74,SC-all-Leu
5,1.33,SC-all-Leu
6,2.03,SC-all-Leu
7,1.45,SC-all-Leu
8,0.98,SC-all-Leu
9,1.13,SC-all-Leu
10,0.72,SC-all-Leu
11,0.89,SC-all-Leu
12,1.19,SC-all-Leu
13,1.95,SC-all-Leu
14,1.83,SC-all-Leu
15,1.65,SC-all-Leu
16,1.16,SC-all-Leu
17,0.5,SC-all-Leu
18,0.99,SC-all-Leu
19,1.32,SC-all-Leu
20,0.83,SC-all-Leu
21,1.28,SC-all-Leu
22,2.44,SC-all-Leu
23,0.81,SC-all-Leu
24,2.66,SC-all-Leu
25,1.2,SC-all-Leu
26,1.04,SC-all-Leu
27,1.47,SC-all-Leu
28,0.92,SC-all-Leu
29,2.0,SC-all-Leu
30,2.54,SC-all-Leu
31,1.09,SC-all-Leu
32,2.35,SC-all-Leu
33,1.31,SC-all-Leu
34,1.57,SC-all-Leu
35,1.23,SC-all-Leu
36,3.73,SC-all-Leu
37,1.58,SC-all-Leu
38,1.19,SC-all-Leu
39,0.88,SC-all-Leu
40,1.29,SC-all-Leu
41,1.64,SC-all-Leu
42,1.36,SC-all-Leu
43,0.96,SC-all-Leu
44,1.5,SC-all-Leu
45,0.53,SC-all-Leu
46,1.46,SC-all-Leu
47,1.58,SC-all-Leu
48,1.08,SC-all-Leu
49,1.32,SC-all-Leu
50,1.05,SC-all-Leu
51,1.38,SC-all-Leu
52,1.82,SC-all-Leu
53,1.0,SC-all-Leu
54,0.92,SC-all-Leu
55,1.35,SC-all-Leu
56,2.14,SC-all-Leu
57,2.36,SC-all-Leu
58,1.84,SC-all-Leu
59,1.3,SC-all-Leu
60,1.97,SC-all-Leu
61,1.62,SC-all-Leu
62,1.27,SC-all-Leu
63,2.0,SC-all-Leu
64,1.32,SC-all-Leu
65,1.5,SC-all-Leu
66,0.99,SC-all-Leu
67,1.01,SC-all-Leu
68,0.99,SC-all-Leu
69,1.25,SC-all-Leu
70,1.12,SC-all-Leu
71,2.13,SC-all-Leu
72,1.24,SC-all-Leu
73,2.32,SC-all-Leu
74,1.04,SC-all-Leu
75,1.85,SC-all-Leu
76,0.9,SC-all-Leu
77,2.27,SC-all-Leu
78,0.86,SC-all-Leu
79,1.65,SC-all-Leu
80,0.4,SC-all-Leu
81,1.08,SC-all-Leu
82,1.34,SC-all-Leu
83,1.16,SC-all-Leu
84,1.06,SC-all-Leu
85,1.12,SC-all-Leu
86,3.28,SC-all-Leu
87,1.07,SC-all-Leu
88,1.24,SC-all-Leu
89,0.64,SC-all-Leu
90,0.86,SC-all-Leu
91,1.79,SC-all-Leu
92,1.23,SC-all-Leu
93,0.29,SC-all-Leu
94,1.49,SC-all-Leu
95,1.44,SC-all-Leu
96,1.8,SC-all-Leu
97,1.54,SC-all-Leu
98,1.22,SC-all-Leu
99,1.27,SC-all-Leu
100,1.33,SC-all-Leu
101,1.39,SC-all-Leu
102,2.12,SC-all-Leu
103,1.4,SC-all-Leu
104,1.68,SC-all-Leu
105,1.04,SC-all-Leu
1,0.14,SC-anionic
2,0.12,SC-anionic
3,0.15,SC-anionic
4,0.25,SC-anionic
5,0.29,SC-anionic
6,0.16,SC-anionic
7,0.16,SC-anionic
8,0.16,SC-anionic
9,0.08,SC-anionic
10,0.05,SC-anionic
11,0.17,SC-anionic
12,0.23,SC-anionic
13,0.2,SC-anionic
14,0.2,SC-anionic
15,0.14,SC-anionic
16,0.25,SC-anionic
17,0.16,SC-anionic
18,0.19,SC-anionic
19,0.14,SC-anionic
20,0.13,SC-anionic
21,0.14,SC-anionic
22,0.18,SC-anionic
23,0.16,SC-anionic
24,0.26,SC-anionic
25,0.18,SC-anionic
26,0.15,SC-anionic
27,0.05,SC-anionic
28,0.12,SC-anionic
29,0.18,SC-anionic
30,0.2,SC-anionic
31,0.12,SC-anionic
32,0.16,SC-anionic
33,0.18,SC-anionic
34,0.22,SC-anionic
35,0.13,SC-anionic
36,0.2,SC-anionic
37,0.07,SC-anionic
38,0.22,SC-anionic
39,0.26,SC-anionic
40,0.36,SC-anionic
41,0.15,SC-anionic
42,0.2,SC-anionic
43,0.13,SC-anionic
44,0.1,SC-anionic
45,0.19,SC-anionic
46,0.16,SC-anionic
47,0.23,SC-anionic
48,0.16,SC-anionic
49,0.18,SC-anionic
50,0.32,SC-anionic
51,0.38,SC-anionic
52,0.09,SC-anionic
53,0.05,SC-anionic
54,0.23,SC-anionic
55,0.17,SC-anionic
56,0.19,SC-anionic
57,0.12,SC-anionic
58,0.2,SC-anionic
59,0.2,SC-anionic
60,0.34,SC-anionic
61,0.24,SC-anionic
62,0.14,SC-anionic
63,0.09,SC-anionic
64,0.15,SC-anionic
65,0.36,SC-anionic
66,0.14,SC-anionic
67,0.19,SC-anionic
68,0.08,SC-anionic
69,0.19,SC-anionic
70,0.19,SC-anionic
71,0.2,SC-anionic
72,0.22,SC-anionic
73,0.21,SC-anionic
74,0.32,SC-anionic
75,0.05,SC-anionic
76,0.09,SC-anionic
77,0.18,SC-anionic
78,0.15,SC-anionic
79,0.13,SC-anionic
80,0.17,SC-anionic
81,0.23,SC-anionic
82,0.14,SC-anionic
83,0.22,SC-anionic
84,0.11,SC-anionic
85,0.21,SC-anionic
86,0.15,SC-anionic
87,0.23,SC-anionic
88,0.15,SC-anionic
89,0.19,SC-anionic
90,0.16,SC-anionic
91,0.24,SC-anionic
92,0.21,SC-anionic
93,0.21,SC-anionic
94,0.12,SC-anionic
95,0.13,SC-anionic
96,0.31,SC-anionic
97,0.2,SC-anionic
98,0.23,SC-anionic
99,0.13,SC-anionic
100,0.29,SC-anionic
101,0.15,SC-anionic
102,0.25,SC-anionic
103,0.17,SC-anionic
104,0.13,SC-anionic
105,0.21,SC-anionic
