ID;Helicity;uH;NCPR;Length;Total contacts;Type
ASYNP001;12.0;0.44;0.18;36;2.73;aSynPEP-DB
ASYNP002;11.3;0.23;0.1;39;0.11;aSynPEP-DB
ASYNP003;13.5;0.25;0.2;36;0.78;aSynPEP-DB
ASYNP004;16.4;0.28;0.16;38;2.57;aSynPEP-DB
ASYNP005;42.3;0.29;0.16;41;1.49;aSynPEP-DB
ASYNP006;21.1;0.31;0.1;40;0.41;aSynPEP-DB
ASYNP007;33.5;0.21;0.1;41;0.49;aSynPEP-DB
ASYNP008;1.1;0.34;0.1;43;1.42;aSynPEP-DB
ASYNP009;2.8;0.22;0.1;40;1.07;aSynPEP-DB
ASYNP010;21.4;0.37;0.18;36;1.77;aSynPEP-DB
ASYNP011;40.1;0.3;0.16;39;2.49;aSynPEP-DB
ASYNP012;5.4;0.32;0.11;28;15.03;aSynPEP-DB
ASYNP013;2.3;0.29;0.1;33;2.38;aSynPEP-DB
ASYNP014;12.4;0.42;0.18;36;1.94;aSynPEP-DB
ASYNP015;19.7;0.46;0.15;36;3.03;aSynPEP-DB
ASYNP016;21.9;0.21;0.1;38;0.18;aSynPEP-DB
ASYNP017;3.7;0.29;0.16;53;161.81;aSynPEP-DB
ASYNP018;4.5;0.41;0.1;19;2.15;aSynPEP-DB
ASYNP019;5.5;0.3;0.1;29;0.65;aSynPEP-DB
ASYNP020;1.7;0.22;0.06;31;2.32;aSynPEP-DB
ASYNP021;6.6;0.25;0.12;28;6.2;aSynPEP-DB
ASYNP022;2.0;0.3;0.1;27;0.31;aSynPEP-DB
ASYNP023;10.2;0.29;0.15;44;28.5;aSynPEP-DB
ASYNP024;10.8;0.24;0.15;27;0.7;aSynPEP-DB
ASYNP025;24.6;0.23;0.3;38;161.25;aSynPEP-DB
ASYNP026;8.4;0.2;0.11;27;12.54;aSynPEP-DB
ASYNP027;9.5;0.24;0.1;48;0.23;aSynPEP-DB
ASYNP028;13.8;0.3;0.14;37;9.4;aSynPEP-DB
ASYNP029;5.6;0.24;0.1;37;0.16;aSynPEP-DB
ASYNP030;5.5;0.23;0.1;29;0.29;aSynPEP-DB
ASYNP031;4.2;0.22;0.16;42;0.4;aSynPEP-DB
ASYNP032;12.3;0.32;0.18;49;20.57;aSynPEP-DB
ASYNP033;4.2;0.21;0.06;37;2.43;aSynPEP-DB
ASYNP034;6.9;0.27;0.2;20;12.19;aSynPEP-DB
ASYNP035;1.2;0.2;0.1;52;61.24;aSynPEP-DB
ASYNP036;1.5;0.22;0.25;32;52.03;aSynPEP-DB
ASYNP037;1.0;0.28;0.06;32;2.09;aSynPEP-DB
ASYNP038;1.8;0.3;0.1;27;2.2;aSynPEP-DB
ASYNP039;2.8;0.25;0.11;52;16.85;aSynPEP-DB
ASYNP040;7.6;0.37;0.21;51;134.8;aSynPEP-DB
ASYNP041;1.2;0.2;0.07;44;4.72;aSynPEP-DB
ASYNP042;1.1;0.24;0.08;39;6.33;aSynPEP-DB
ASYNP043;1.1;0.22;0.07;30;3.36;aSynPEP-DB
ASYNP044;1.9;0.32;0.1;54;57.96;aSynPEP-DB
ASYNP045;1.7;0.23;0.1;37;6.72;aSynPEP-DB
ASYNP046;1.5;0.23;0.1;43;2.84;aSynPEP-DB
ASYNP047;1.0;0.21;0.16;25;22.75;aSynPEP-DB
ASYNP048;1.2;0.22;0.13;39;10.26;aSynPEP-DB
ASYNP049;1.4;0.27;0.1;39;14.29;aSynPEP-DB
ASYNP050;1.1;0.37;0.1;35;17.04;aSynPEP-DB
ASYNP051;2.2;0.27;0.15;34;43.28;aSynPEP-DB
ASYNP052;1.5;0.23;0.18;28;70.34;aSynPEP-DB
ASYNP053;1.2;0.32;0.23;26;48.01;aSynPEP-DB
ASYNP054;4.3;0.31;0.14;44;67.01;aSynPEP-DB
ASYNP055;2.7;0.23;0.14;43;97.19;aSynPEP-DB
ASYNP056;5.7;0.3;0.1;34;5.52;aSynPEP-DB
ASYNP057;1.9;0.23;0.16;31;26.27;aSynPEP-DB
ASYNP058;1.6;0.4;0.08;26;4.29;aSynPEP-DB
ASYNP059;1.2;0.35;0.23;22;20.86;aSynPEP-DB
ASYNP060;2.5;0.26;0.1;48;0.27;aSynPEP-DB
ASYNP061;1.2;0.51;0.1;27;0.57;aSynPEP-DB
ASYNP062;1.3;0.29;0.1;27;3.37;aSynPEP-DB
ASYNP063;1.1;0.31;0.27;22;30.72;aSynPEP-DB
ASYNP064;3.2;0.36;0.1;53;28.35;aSynPEP-DB
ASYNP065;1.5;0.22;0.1;36;1.56;aSynPEP-DB
ASYNP066;1.1;0.32;0.22;23;29.86;aSynPEP-DB
ASYNP067;3.5;0.25;0.3;44;115.75;aSynPEP-DB
ASYNP068;1.3;0.21;0.13;30;10.8;aSynPEP-DB
ASYNP069;1.7;0.29;0.13;31;7.45;aSynPEP-DB
ASYNP070;2.9;0.28;0.26;51;198.47;aSynPEP-DB
ASYNP071;1.0;0.29;0.1;32;0.93;aSynPEP-DB
ASYNP072;2.7;0.29;0.19;51;164.81;aSynPEP-DB
ASYNP073;6.9;0.27;0.2;20;16.7;aSynPEP-DB
ASYNP074;1.0;0.32;0.21;48;178.51;aSynPEP-DB
ASYNP075;4.9;0.23;0.1;47;0.96;aSynPEP-DB
ASYNP076;1.5;0.23;0.1;48;1.03;aSynPEP-DB
ASYNP077;4.6;0.27;0.13;47;137.69;aSynPEP-DB
ASYNP078;1.0;0.32;0.14;49;2.39;aSynPEP-DB
ASYNP079;1.2;0.28;0.1;48;22.51;aSynPEP-DB
ASYNP080;1.2;0.48;0.11;47;0.41;aSynPEP-DB
ASYNP081;4.7;0.53;0.15;39;65.29;aSynPEP-DB
ASYNP082;7.2;0.31;0.1;46;9.06;aSynPEP-DB
ASYNP083;1.2;0.2;0.1;52;84.89;aSynPEP-DB
ASYNP084;4.8;0.5;0.16;38;59.73;aSynPEP-DB
ASYNP085;4.8;0.5;0.14;29;22.6;aSynPEP-DB
ASYNP086;1.1;0.27;0.15;51;6.87;aSynPEP-DB
ASYNP087;3.5;0.25;0.07;45;0.82;aSynPEP-DB
ASYNP088;3.2;0.32;0.12;50;87.58;aSynPEP-DB
ASYNP089;5.5;0.62;0.16;25;16.36;aSynPEP-DB
ASYNP090;1.1;0.52;0.22;23;12.03;aSynPEP-DB
ASYNP091;5.5;0.55;0.2;30;50.54;aSynPEP-DB
ASYNP092;5.3;0.54;0.23;31;110.6;aSynPEP-DB
ASYNP093;2.5;0.56;0.2;20;12.18;aSynPEP-DB
ASYNP094;6.6;0.25;0.22;18;5.09;aSynPEP-DB
ASYNP095;5.5;0.59;0.26;27;47.08;aSynPEP-DB
ASYNP096;1.5;0.51;0.1;54;0.53;aSynPEP-DB
ASYNP097;3.6;0.2;0.1;23;2.54;aSynPEP-DB
ASYNP098;1.1;0.3;0.1;21;4.38;aSynPEP-DB
ASYNP099;1.1;0.23;0.32;22;116.94;aSynPEP-DB
ASYNP100;7.1;0.23;0.13;24;1.78;aSynPEP-DB
ASYNP101;1.0;0.4;0.16;19;4.0;aSynPEP-DB
